"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript React", "CSS", "Python", "HTML", "LaTeX", "comment", "blank", "total"
"e:\csci3100\avalanche\avalanche\README.md", "Markdown", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 10, 35
"e:\csci3100\avalanche\avalanche\code\dataset\binary_search_nearest_rating.py", "Python", 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 7, 30
"e:\csci3100\avalanche\avalanche\code\dataset\difficulty_estimator.py", "Python", 0, 0, 0, 0, 0, 0, 18, 0, 0, 8, 5, 31
"e:\csci3100\avalanche\avalanche\code\dataset\random_selector.py", "Python", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 6, 13
"e:\csci3100\avalanche\avalanche\code\login-page\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"e:\csci3100\avalanche\avalanche\code\login-page\assets\css\animate.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"e:\csci3100\avalanche\avalanche\code\login-page\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"e:\csci3100\avalanche\avalanche\code\login-page\assets\css\my-login.css", "CSS", 0, 0, 0, 0, 0, 214, 0, 0, 0, 8, 44, 266
"e:\csci3100\avalanche\avalanche\code\login-page\assets\css\second.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 11, 59
"e:\csci3100\avalanche\avalanche\code\login-page\assets\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"e:\csci3100\avalanche\avalanche\code\login-page\assets\js\dark-mode-switch.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 22, 4, 53
"e:\csci3100\avalanche\avalanche\code\login-page\assets\js\dark-mode-switch.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"e:\csci3100\avalanche\avalanche\code\login-page\assets\js\jquery.min.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 5
"e:\csci3100\avalanche\avalanche\code\login-page\assets\js\my-login.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 11, 67
"e:\csci3100\avalanche\avalanche\code\login-page\assets\js\pooper.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"e:\csci3100\avalanche\avalanche\code\login-page\assets\js\workspace.code-workspace", "JSON with Comments", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"e:\csci3100\avalanche\avalanche\code\login-page\forgot.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 7, 64
"e:\csci3100\avalanche\avalanche\code\login-page\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 22, 105
"e:\csci3100\avalanche\avalanche\code\login-page\register.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 71, 0, 1, 15, 87
"e:\csci3100\avalanche\avalanche\code\login-page\reset.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 121, 0, 1, 19, 141
"e:\csci3100\avalanche\avalanche\code\match.py", "Python", 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 11, 42
"e:\csci3100\avalanche\avalanche\code\match_maker.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"e:\csci3100\avalanche\avalanche\code\package-lock.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\csci3100\avalanche\avalanche\code\player.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"e:\csci3100\avalanche\avalanche\code\rating.py", "Python", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 5
"e:\csci3100\avalanche\avalanche\code\readme.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"e:\csci3100\avalanche\avalanche\code\wordle_war\README.md", "Markdown", 0, 0, 0, 62, 0, 0, 0, 0, 0, 10, 25, 97
"e:\csci3100\avalanche\avalanche\code\wordle_war\package-lock.json", "JSON", 0, 12511, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12512
"e:\csci3100\avalanche\avalanche\code\wordle_war\package.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\csci3100\avalanche\avalanche\code\wordle_war\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"e:\csci3100\avalanche\avalanche\code\wordle_war\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\.adminbro\.entry.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\config\allowedOrigins.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\config\corsOptions.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\config\dbConn.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\config\roles_list.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\activateController.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 54, 25, 104
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\activateEmail.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\adminChangePasswordController.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 8, 33
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\adminResetPasswordEmail.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\authController.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 5, 52
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\db\pending-user.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\elo.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\employeesController.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 11, 68
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\gameController.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 20, 16, 126
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\loginController.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 5, 25
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\logoutController.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 6, 26
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\refreshTokenController.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 3, 36
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\registerController.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 49, 23, 105
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\resetAccountEmail.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\resetPasswordConfirmationController.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 54, 16, 90
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\resetPasswordController.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 41, 14, 82
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\sendEmail.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 148, 31, 211
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\userChangePasswordController.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 12, 36
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\controllers\usersController.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 4, 34
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\email.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 18, 1, 28
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\credentials.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\errorHandler.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\logEvents.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\verifyJWT.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\middleware\verifyRoles.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\Employee.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\User.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\employees.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\pending-users.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\pending-users.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\resetAccount.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\resetPassword.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\users.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\model\usersDB.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\package-lock.json", "JSON", 0, 5956, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5957
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\activate.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\admin.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 5, 41
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\adminChangePassword.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\api\employees.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\api\game.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\api\users.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\auth.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\login.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\logout.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\refresh.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\register.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\reset-password.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\resetPasswordConfirmation.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\root.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\testEmail.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\routes\userChangePassword.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\server.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 24, 49, 224
"e:\csci3100\avalanche\avalanche\code\wordle_war\server\word.js", "JavaScript", 0, 0, 2318, 0, 0, 0, 0, 0, 0, 0, 2, 2320
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\App.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 112, 45, 217
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\api\axios.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\Header.tsx", "TypeScript React", 0, 0, 0, 0, 66, 0, 0, 0, 0, 51, 32, 149
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\Login.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 85, 22, 205
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\Register.js", "JavaScript", 0, 0, 188, 0, 0, 0, 0, 0, 0, 3, 25, 216
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\RequireAuth.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\confirmPwd.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 4, 23, 153
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\auth\resetPassword.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 2, 13, 87
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\context\AuthProvider.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\Tile.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\eventbus.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\game.css", "CSS", 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 38, 277
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\game.js", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 0, 0, 12, 23, 239
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\keyboard.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 7, 53
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\keyboard.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 3, 17, 94
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\multi\mserver.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 29, 16, 133
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\multi\multiGame.js", "JavaScript", 0, 0, 426, 0, 0, 0, 0, 0, 0, 54, 59, 539
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\game\word.js", "JavaScript", 0, 0, 12978, 0, 0, 0, 0, 0, 0, 2, 4, 12984
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\header\Setting.tsx", "TypeScript React", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 9, 17
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\header\Tutorial.tsx", "TypeScript React", 0, 0, 0, 0, 73, 0, 0, 0, 0, 1, 14, 88
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\home\Home.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 6, 60
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\home\HomePageNoLogin.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 7, 48
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\hooks\useAuth.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\hooks\useAxiosPrivate.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 6, 45
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\hooks\useRefreshToken.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\Layout.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\LinkPage.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\Lounge.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\RequireAuth.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\Unauthorized.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\admin.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 2, 24
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\adminChangePw.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 2, 15, 103
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\editor.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\missing.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\refresh.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 12, 47
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\setting.js", "JavaScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 113, 41, 314
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\components\layout\userList.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 2, 8, 70
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\index.css", "CSS", 0, 0, 0, 0, 0, 142, 0, 0, 0, 109, 27, 278
"e:\csci3100\avalanche\avalanche\code\wordle_war\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 42, 1, 55
"e:\csci3100\avalanche\avalanche\code\wordle_war\tailwind.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\csci3100\avalanche\avalanche\code\wordle_war\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\csci3100\avalanche\avalanche\documentations\Development Guidelines.md", "Markdown", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 11, 61
"e:\csci3100\avalanche\avalanche\documentations\Functionalities.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"e:\csci3100\avalanche\avalanche\documentations\Roadmap.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"e:\csci3100\avalanche\avalanche\documentations\rating\spec.tex", "LaTeX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 10, 44
"e:\csci3100\avalanche\avalanche\package-lock.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 37, 18666, 18508, 149, 159, 692, 98, 352, 34, 1211, 1075, 40981